,curve_slope_14,curve_curvature,inventory_z_52,dlog_inventory
2013-01-04,0.22451550306842913,-0.0554529350106841,-0.3397594618900055,0.0
2013-01-11,0.12971211014574802,-0.0355367850142107,0.22708467252582135,0.5668441344158268
2013-01-18,-0.031346672670897566,-0.19547276972152816,0.049963720480221914,-0.17712095204559944
2013-01-25,0.22739975550643454,0.05252029542162924,-0.02565473114503672,-0.07561845162525863
2013-02-01,-0.01889955923097217,0.47543049158408884,-0.2720301531757284,-0.24637542203069165
2013-02-08,0.23699906123655187,0.2281041530751378,-0.12035352723408922,0.15167662594163916
2013-02-15,0.26692120798869456,0.5574782509456478,0.28401458544610825,0.40436811268019746
2013-02-22,0.08174747184371295,0.12019250516474328,0.5774755147881498,0.2934609293420416
2013-03-01,0.4790164965420874,0.4817928467750808,-0.06391213526232681,-0.6413876500504767
2013-03-08,0.048803651451513885,0.12135099016164469,0.2947112808225323,0.3586234160848591
2013-03-15,0.06066255355647754,-0.1680545143450396,0.30294589437405894,0.00823461355152666
2013-03-22,0.36387256184831335,0.3857704031375928,-0.380945502672036,-0.6838913970460949
2013-03-29,0.4015997885234632,0.31347265751013464,0.7402051305105845,1.1211506331826204
2013-04-05,0.867962598333853,0.5631826309917564,0.38422004441954455,-0.3559850860910399
2013-04-12,0.45853020807133316,0.679677857217974,0.0331836019750415,-0.35103644244450305
2013-04-19,0.9904572187410348,0.5299324247763076,0.6130846282186164,0.5799010262435749
2013-04-26,0.6200010759071855,0.526850107311232,-0.03519606588332458,-0.648280694101941
2013-05-03,0.5726347562044575,0.2742136324767689,-0.24820187294810725,-0.21300580706478267
2013-05-10,0.8381837600686642,0.393562358766387,0.197478792654497,0.4456806656026042
2013-05-17,0.7085550679890148,0.6769561322036028,-0.05066062307515151,-0.2481394157296485
2013-05-24,0.8141311144736726,0.2919519637644001,0.5586197850260821,0.6092804081012336
2013-05-31,0.5855133146957119,0.8026883341345563,0.31357701510207875,-0.24504276992400337
2013-06-07,0.819821517031794,0.15793354755187763,0.4730521170043085,0.15947510190222974
2013-06-14,0.8428314183838238,0.2403593434389133,0.8462507254212586,0.3731986084169501
2013-06-21,0.5114231081524032,0.034568470137765456,0.02105926462147184,-0.8251914607997868
2013-06-28,0.7379014572709303,0.2683162495869458,0.45695992915173705,0.4359006645302652
2013-07-05,0.32073039070811,-0.12204909820195997,0.33768541261824375,-0.1192745165334933
2013-07-12,0.8317440241311723,-0.026998650923047665,0.659873111022508,0.32218769840426426
2013-07-19,0.550256604779779,0.1874180394901974,0.27564105124542065,-0.38423205977708735
2013-07-26,0.7655276409204255,-0.05501498614488815,0.7993983385582871,0.5237572873128664
2013-08-02,0.7254693383521809,-0.36825243257510976,0.49909862437025687,-0.30029971418803025
2013-08-09,1.2001460654485676,-0.16282471502662113,0.2739763358014942,-0.22512228856876265
2013-08-16,0.4186497370235964,-0.3132034094099924,0.38981957019470237,0.11584323439320815
2013-08-23,0.28269824898948426,0.028677915755625782,0.4765349446534418,0.08671537445873945
2013-08-30,0.7824154323369044,-0.6945004001170244,0.4674915044367483,-0.00904344021669351
2013-09-06,0.6538078649990037,-0.3346436894947289,0.44077807948474607,-0.02671342495200224
2013-09-13,1.5875237430371385,-0.3055459914051739,1.248630804704917,0.807852725220171
2013-09-20,0.6687010017178684,-0.6329719468394741,0.45079360260393164,-0.7978372021009854
2013-09-27,0.47970146370899597,-0.6786898202801789,0.4651444070797297,0.014350804475798062
2013-10-04,-0.15696358724811588,-0.21950105581069718,0.4052687059300675,-0.05987570114966223
2013-10-11,0.6379133794235132,-0.744659490329737,0.9683793137160994,0.563110607786032
2013-10-18,0.1748477064814784,-0.6608243248888487,0.7498256191500702,-0.21855369456602924
2013-10-25,0.7000433607112365,-0.4074307242167634,0.6828730827220968,-0.06695253642797339
2013-11-01,0.543289801890147,-0.19602588062283766,0.4538418459724424,-0.22903123674965437
2013-11-08,0.5762182450421883,-0.7656647247617718,1.0787649402390551,0.6249230942666126
2013-11-15,0.8551100792251707,-0.46078246066686396,0.5611715323442152,-0.5175934078948399
2013-11-22,0.8117117586793836,-0.2512988462962119,0.23032231366122413,-0.3308492186829911
2013-11-29,0.6736391401226465,-0.564976414255618,0.8031237968446003,0.5728014831833762
2013-12-06,0.2868594775381603,-0.27096689586886813,0.3346167084503663,-0.46850708839423405
2013-12-13,0.15736406644377965,-0.3473893106697162,1.0463488877294398,0.7117321792790735
2013-12-20,0.5386752934020171,-0.2566966284040678,1.1046397377806505,0.05829085005121071
2013-12-27,0.3553449571268579,-0.4346773942619657,0.8307571002099181,-0.2738826375707324
