variable,horizon_weeks,model,n_origins,eff_independent_n,mean_crps,delta_vs_RW_equal,improvement_pct,dm_stat,dm_pvalue,hac_lag,boot_lo,boot_hi,significant_5pct
BRENT,1,CTS_equal,85,85.0,0.019347580679176562,-0.00033444296262527117,1.699230570554556,-1.0420139317954253,0.3003949920000957,0,-0.0009829756663137196,0.00034956330950581334,False
BRENT,1,CTSF_equal,85,85.0,0.0193531643848439,-0.00032885925695792925,1.6708609995746797,-1.1344354806312305,0.25983891233610157,0,-0.0009096040809478059,0.0002690995350819169,False
BRENT,1,VARL_equal,85,85.0,0.01936171338149423,-0.00032031026030759577,1.6274254423072072,-0.6889591934263869,0.4927475748620256,0,-0.0012493072593345738,0.000620105445551484,False
BRENT,1,CTSF_macro,85,85.0,0.019417128776743026,-0.00026489486505880557,1.3458721007539503,-0.7687341613624242,0.44420714911362214,0,-0.0009523108760165918,0.0004099311747099257,False
BRENT,1,CTS_macro,85,85.0,0.01943157563288969,-0.00025044800891213797,1.2724708265273397,-0.658628418398841,0.5119357068020314,0,-0.001023468928372631,0.0004900845133260038,False
BRENT,1,FHS_equal,85,85.0,0.01944461802102285,-0.00023740562077897737,1.2062053430053168,-0.8540373298857595,0.395513334381822,0,-0.0007792567830043826,0.0002829597995467034,False
BRENT,1,VARL_time,85,85.0,0.019453593170432583,-0.00022843047136924787,1.1606045980155053,-0.4713125700184179,0.6386393534360577,0,-0.0012146962802828103,0.0007531249657794336,False
BRENT,1,FHS_macro,85,85.0,0.019461658946106217,-0.00022036469569561477,1.1196241794344406,-0.6050046229443545,0.5468068842866085,0,-0.0009258981218062543,0.00043308531448091027,False
BRENT,1,CTSF_time,85,85.0,0.019510256576289565,-0.0001717670655122603,0.872710391158458,-0.5157032889865938,0.6074163694109989,0,-0.0008222743808813771,0.0004894797068182779,False
BRENT,1,FHS_time,85,85.0,0.019510936192812176,-0.0001710874489896526,0.8692574102303827,-0.49276633354958116,0.6234633404855234,0,-0.0008385949200889143,0.0004638867583511495,False
BRENT,1,CTS_time,85,85.0,0.019520422191064018,-0.00016160145073781522,0.8210611554931644,-0.4414901965734646,0.6599925515479457,0,-0.000899627815235678,0.0005744412431015492,False
BRENT,1,VECM_macro,85,85.0,0.019528715409578044,-0.00015330823222378567,0.7789251502481946,-0.30454516913038526,0.7614658179623288,0,-0.001154790340998181,0.0008658202780570466,False
BRENT,1,AR_macro,85,85.0,0.019555107517648045,-0.00012691612415378472,0.6448326984235364,-0.419488334337855,0.6759301792082546,0,-0.0007218407443060952,0.0004435244412987511,False
BRENT,1,AR_macro_nc,85,85.0,0.019580649614767826,-0.00010137402703400505,0.515058963849145,-0.3679544511424729,0.7138327707536405,0,-0.0006109020899088744,0.00040765156917361013,False
BRENT,1,VECM_time,85,85.0,0.01958827057006842,-9.37530717334055e-05,0.47633857899801824,-0.1874941217227375,0.8517253871182406,0,-0.0010761498534383601,0.0009265943290897058,False
BRENT,1,AR_equal,85,85.0,0.019596202765139153,-8.582087666267771e-05,0.43603685385484897,-0.38940387085031136,0.697962890799805,0,-0.000508343921676824,0.0003605153270830777,False
BRENT,1,AR_time,85,85.0,0.019614919628064706,-6.710401373712288e-05,0.3409406215456852,-0.23868888481446504,0.8119281914466776,0,-0.0006064355774724739,0.0004630246085204616,False
BRENT,1,VECM_equal,85,85.0,0.01963516500825981,-4.68586335420181e-05,0.2380783317549909,-0.0945464090168912,0.9249002878917927,0,-0.0010148370386851922,0.0009713319940076922,False
BRENT,1,RW_equal,85,85.0,0.019682023641801834,0.0,0.0,,,0,0.0,0.0,False
BRENT,4,RW_equal,85,85.0,0.03737296329983993,0.0,0.0,,,0,0.0,0.0,False
BRENT,4,FHS_equal,85,85.0,0.0373880219498509,1.5058650010965052e-05,-0.04029289807755626,0.01722992814907494,0.986294045941734,0,-0.0018195898320495086,0.0016931269146363004,False
BRENT,4,FHS_macro,85,85.0,0.03758919309888586,0.00021622979904591685,-0.57857279689366,0.21166947590085883,0.8328776316443962,0,-0.0019090731180129031,0.002212706827663025,False
BRENT,4,FHS_time,85,85.0,0.03766057258265012,0.0002876092828101813,-0.769565101120622,0.29319969400336576,0.7700926431495387,0,-0.0017549160056104067,0.0022129297831621157,False
BRENT,4,VECM_macro,85,85.0,0.03766616486616667,0.0002932015663267405,-0.7845285480158625,0.23651939621335066,0.8136054648440862,0,-0.002235326072376494,0.0029112125000218137,False
BRENT,4,CTSF_macro,85,85.0,0.03768284310137468,0.00030987980153473907,-0.8291550205655609,0.2861192222186693,0.7754912536522562,0,-0.0019716369435754896,0.002552304231728101,False
BRENT,4,CTSF_equal,85,85.0,0.03769353608449419,0.0003205727846542609,-0.8577665679928286,0.3244881705272839,0.7463751576308875,0,-0.0017614508301138944,0.002397681225118099,False
BRENT,4,VARL_equal,85,85.0,0.03775933221938128,0.00038636891954135067,-1.0338193320169469,0.30809083733567144,0.7587758983666029,0,-0.002185441783264873,0.002951012049734842,False
