model,variable,horizon_weeks,n,pit_mean,pit_var,ks_uniform_stat,ks_uniform_pvalue_descriptive
AR_equal,BRENT,1,85,0.5044392156862745,0.0913991698723934,0.0684313725490196,0.7952738801562779
AR_equal,BRENT,4,85,0.4564313725490196,0.0796011926548397,0.1278039215686274,0.1139340241598573
AR_equal,BRENT,12,85,0.43950588235294114,0.07201789579831933,0.14258823529411757,0.05696054878794739
AR_equal,BRENT,20,85,0.4135058823529412,0.07194482701525055,0.178,0.007930292386350575
AR_equal,SPREAD,1,85,0.5241725490196077,0.09048070003112356,0.09898039215686272,0.3523680173708636
AR_equal,SPREAD,4,85,0.4988313725490196,0.07267939582944288,0.10917647058823532,0.24465018858139745
AR_equal,SPREAD,12,85,0.48246274509803927,0.05843406374105197,0.11572549019607847,0.18965538586518868
AR_equal,SPREAD,20,85,0.48788235294117643,0.048607896047307815,0.12388235294117644,0.13519201639700013
AR_equal,WTI,1,85,0.5050274509803921,0.09341966722689075,0.06843137254901965,0.7952738801562769
AR_equal,WTI,4,85,0.4550117647058824,0.07435532922502334,0.12698039215686274,0.11815439967552634
AR_equal,WTI,12,85,0.4266509803921568,0.07134500504201682,0.18690196078431365,0.004506218027843854
AR_equal,WTI,20,85,0.4051450980392158,0.0693355302832244,0.1889803921568628,0.003933116366694261
AR_macro,BRENT,1,85,0.4927607843137256,0.0904310915655151,0.053725490196078446,0.9557981636082689
AR_macro,BRENT,4,85,0.4497568627450982,0.08143497192654839,0.1492941176470588,0.04055891341296074
AR_macro,BRENT,12,85,0.4323607843137255,0.07306271484593838,0.15384313725490195,0.031926243231125834
AR_macro,BRENT,20,85,0.4084784313725491,0.07267667314036727,0.1895686274509804,0.0037835199862174796
AR_macro,SPREAD,1,85,0.5274196078431374,0.08954129934640524,0.09964705882352942,0.3444815003339427
AR_macro,SPREAD,4,85,0.502486274509804,0.0713468189231248,0.10074509803921572,0.3317482879816375
AR_macro,SPREAD,12,85,0.4855607843137254,0.05888701114223468,0.11325490196078436,0.2091556555454109
AR_macro,SPREAD,20,85,0.48938823529411773,0.04973656308745721,0.12478431372549026,0.13003785175337662
AR_macro,WTI,1,85,0.4966823529411765,0.09239586218487394,0.06349019607843132,0.86133313268776
AR_macro,WTI,4,85,0.45207058823529406,0.07351681506380331,0.13501960784313727,0.0820060583838551
AR_macro,WTI,12,85,0.42723921568627443,0.06914417093059447,0.1998823529411765,0.0018789082846046698
AR_macro,WTI,20,85,0.4064705882352942,0.06747222035480858,0.19682352941176462,0.002321587521932929
AR_macro_nc,BRENT,1,85,0.507207843137255,0.08963038618113911,0.04949019607843139,0.978763556103643
AR_macro_nc,BRENT,4,85,0.47556862745098055,0.08166417678182383,0.13482352941176468,0.0827619845100481
AR_macro_nc,BRENT,12,85,0.4834666666666667,0.07693523597883599,0.07176470588235295,0.7463434167529637
AR_macro_nc,BRENT,20,85,0.4740627450980392,0.07419774204793028,0.08811764705882352,0.49646868369979347
AR_macro_nc,SPREAD,1,85,0.5259529411764706,0.09053159564270151,0.09298039215686271,0.4284968840250547
AR_macro_nc,SPREAD,4,85,0.5049254901960785,0.07412551422346716,0.09874509803921572,0.3551794459899729
AR_macro_nc,SPREAD,12,85,0.4889411764705881,0.06421520946156241,0.10525490196078435,0.2828184849826916
AR_macro_nc,SPREAD,20,85,0.49482352941176483,0.057552345471521944,0.11494117647058821,0.19568674135793684
AR_macro_nc,WTI,1,85,0.5099921568627451,0.09127418512293806,0.06031372549019609,0.8980618039504902
AR_macro_nc,WTI,4,85,0.48069019607843133,0.07543234335511984,0.08278431372549022,0.5761135491387672
AR_macro_nc,WTI,12,85,0.4764078431372549,0.07253723909119204,0.11831372549019603,0.17077446275711494
AR_macro_nc,WTI,20,85,0.47007843137254895,0.07094590911920323,0.11498039215686273,0.1953816874084077
AR_time,BRENT,1,85,0.4950980392156863,0.09017577466542173,0.047450980392156866,0.9861560917482529
AR_time,BRENT,4,85,0.4521333333333333,0.08116000846560847,0.14913725490196073,0.04088973505106917
AR_time,BRENT,12,85,0.4307764705882353,0.07231990314347962,0.15960784313725485,0.02332964211624219
AR_time,BRENT,20,85,0.4070588235294118,0.07177718829754125,0.19066666666666665,0.0035181686405922614
AR_time,SPREAD,1,85,0.5257411764705882,0.0898033766573296,0.09721568627450983,0.37380667362233505
AR_time,SPREAD,4,85,0.5021960784313726,0.0714264425770308,0.0956078431372549,0.3940402275302362
AR_time,SPREAD,12,85,0.48774117647058823,0.05770012798008092,0.11392156862745095,0.20374816205452023
AR_time,SPREAD,20,85,0.49054117647058837,0.04889938089013383,0.12835294117647056,0.11118987437188255
AR_time,WTI,1,85,0.4967058823529412,0.09209763336445691,0.06541176470588239,0.8367745081795408
AR_time,WTI,4,85,0.45406274509803907,0.07329839813258636,0.13258823529411756,0.09180104968342646
AR_time,WTI,12,85,0.426070588235294,0.06929189442888266,0.1952156862745098,0.002591180338621832
AR_time,WTI,20,85,0.40547450980392163,0.06685451951447247,0.20352941176470585,0.0014536290472518497
CTSF_equal,BRENT,1,85,0.5077098039215687,0.08977353912231559,0.06713725490196076,0.8134486303600321
CTSF_equal,BRENT,4,85,0.46020392156862755,0.08104816956115778,0.13419607843137255,0.08522040893554868
CTSF_equal,BRENT,12,85,0.43939607843137257,0.0739135515717398,0.14180392156862742,0.05920775619650488
CTSF_equal,BRENT,20,85,0.41137254901960796,0.07349754870837223,0.17490196078431375,0.009590850093259433
CTSF_equal,SPREAD,1,85,0.5136549019607843,0.09029179483348895,0.07400000000000007,0.7123090899098764
