variable,horizon_weeks,model,mean_loss,elimination_step,mcs_pvalue,in_mcs_90,in_mcs_75,in_mcs
BRENT,1,CTS_equal,0.01934758067917656,19,1.0,True,True,True
BRENT,1,CTSF_equal,0.019353164384843902,18,0.9975,True,True,True
BRENT,1,VARL_equal,0.019361713381494235,17,0.9975,True,True,True
BRENT,1,CTSF_macro,0.019417128776743026,15,0.9975,True,True,True
BRENT,1,CTS_macro,0.01943157563288969,12,0.997,True,True,True
BRENT,1,FHS_equal,0.01944461802102285,16,0.9975,True,True,True
BRENT,1,VARL_time,0.019453593170432583,14,0.9975,True,True,True
BRENT,1,FHS_macro,0.01946165894610622,13,0.9975,True,True,True
BRENT,1,CTSF_time,0.019510256576289565,5,0.9775,True,True,True
BRENT,1,FHS_time,0.019510936192812165,11,0.983,True,True,True
BRENT,1,CTS_time,0.01952042219106402,7,0.9775,True,True,True
BRENT,1,VECM_macro,0.019528715409578044,10,0.983,True,True,True
BRENT,1,AR_macro,0.01955510751764804,9,0.9775,True,True,True
BRENT,1,AR_macro_nc,0.019580649614767832,6,0.9775,True,True,True
BRENT,1,VECM_time,0.01958827057006842,8,0.9775,True,True,True
BRENT,1,AR_equal,0.019596202765139157,3,0.9775,True,True,True
BRENT,1,AR_time,0.0196149196280647,1,0.9725,True,True,True
BRENT,1,VECM_equal,0.01963516500825981,4,0.9775,True,True,True
BRENT,1,RW_equal,0.01968202364180183,2,0.9725,True,True,True
BRENT,4,RW_equal,0.03737296329983995,19,1.0,True,True,True
BRENT,4,FHS_equal,0.0373880219498509,18,0.995,True,True,True
BRENT,4,FHS_macro,0.03758919309888585,17,0.995,True,True,True
BRENT,4,FHS_time,0.03766057258265012,15,0.995,True,True,True
BRENT,4,VECM_macro,0.037666164866166654,16,0.995,True,True,True
BRENT,4,CTSF_macro,0.03768284310137469,13,0.995,True,True,True
BRENT,4,CTSF_equal,0.03769353608449418,11,0.995,True,True,True
BRENT,4,VARL_equal,0.03775933221938128,14,0.995,True,True,True
BRENT,4,VECM_equal,0.03778608334709614,12,0.995,True,True,True
BRENT,4,CTSF_time,0.03787896773623553,5,0.9765,True,True,True
BRENT,4,VECM_time,0.03791799515023802,10,0.9765,True,True,True
BRENT,4,AR_macro,0.0379259249833792,9,0.9765,True,True,True
BRENT,4,AR_equal,0.03793434262151117,8,0.9765,True,True,True
BRENT,4,CTS_equal,0.03794438866034419,4,0.9765,True,True,True
BRENT,4,CTS_macro,0.03795149772145315,6,0.9765,True,True,True
BRENT,4,VARL_time,0.03805860993897044,7,0.9765,True,True,True
BRENT,4,AR_macro_nc,0.038069756575645215,3,0.9765,True,True,True
BRENT,4,AR_time,0.03813347497370034,2,0.931,True,True,True
BRENT,4,CTS_time,0.03814232581698997,1,0.806,True,True,True
BRENT,12,VECM_macro,0.06039453437180296,19,1.0,True,True,True
BRENT,12,VECM_equal,0.06054747871972754,18,0.9915,True,True,True
BRENT,12,VECM_time,0.060686663573864943,17,0.9915,True,True,True
BRENT,12,VARL_equal,0.060854167517124226,16,0.9915,True,True,True
BRENT,12,VARL_time,0.060960175784215934,14,0.9915,True,True,True
BRENT,12,CTSF_equal,0.061189512793118135,15,0.9915,True,True,True
BRENT,12,CTSF_macro,0.06120309700328712,13,0.9915,True,True,True
BRENT,12,CTSF_time,0.061253831148753324,12,0.9875,True,True,True
