variable,horizon_weeks,best_model,mean_crps,improvement_pct,dm_pvalue,beats_baseline_at_5pct
BRENT,1,CTS_equal,0.019347580679176562,1.699230570554556,0.3003949920000957,False
BRENT,4,RW_equal,0.03737296329983993,0.0,,False
BRENT,12,VECM_macro,0.060394534371802984,1.9631924074474643,0.5826617383004109,False
BRENT,20,VECM_equal,0.07526292450486004,2.4428809841368118,0.5685034931399302,False
SPREAD,1,CTSF_time,0.010620645954175162,6.963667163694779,0.028772543477011192,True
SPREAD,4,CTS_time,0.016250793690470205,12.032864119525518,0.0061986961878310876,True
SPREAD,12,CTS_time,0.01975885282280884,28.109561559249833,2.7417401577967127e-06,True
SPREAD,20,CTS_equal,0.020220439282628743,37.67118696374253,8.838897169738402e-09,True
WTI,1,FHS_equal,0.019045926981196497,2.7314751804934847,0.11765623070456988,False
WTI,4,FHS_macro,0.036695467454923414,1.8147111958902653,0.5322258433127005,False
WTI,12,VECM_macro,0.06319717282698112,0.013418978623704494,0.991822257275403,False
WTI,20,RW_equal,0.07896981008241598,0.0,,False
